4;GALLETAS ZOOLOGIA CAJA X 2.8 KG;2;12.8;22
4;GARBANZO;3;6.16;22
4;GASEOSA COCA COLA 500ML;21;1.85;22
4;GASEOSA INKA COLA X 3 LT;21;9.5;22
4;GASEOSA COCA COLA 3 LT;21;9.8;22
4;GASEOSA KOLA REAL SURTIDA X 450 ML X 12 UND;11;11.5;22
4;GASEOSA INCA KOLA 500ML;21;1.85;22
4;GELATINA X 5 KG;12;55;22
4;GELATINA GEMINIS FRESA X 5 KG;11;33.5;22
4;GELATINA GEMINIS LIMÓN X 5 KG;11;36;22
4;GELATINA GEMINIS NARANJA X 5 KG;11;36;22
4;GELATINA GEMINIS PIÑA X 5 KG;11;36;22
4;GELATINA GEMINIS UVA X 5KG;11;35;22
4;GELATINA DE LIMÓN X 5 KG;12;34.5;22
4;GELATINA LEAL FRESA/NARANJA/PIÑA/LIMON X 5 KG;12;35;22
4;HARINA X 10 KG;5;27.93;22
4;HARINA DE ARVERJA X KG;3;6.2;22
4;HARINA DE MAIZ DEMSA X KG;3;3.5;22
4;HARINA NICOLINI AGRANEL X KG;3;2.25;22
4;HARINA NICOLINI EXTRA SUR X 50 KG;5;99;22
4;INKA KOLA 2.25 ML;10;5.9;22
4;COCA COLA 2.25 ML;10;5.9;22
4;JUGO KRIS SURTIDO X 500 X 12 UND;11;11;22
4;KETCHUP B&D BALDE;15;16.5;22
4;KETCHUP ALPESA X 10 GR;10;0.17;22
4;KIWICHA PLOP ;3;20;22
4;KIWICHA MOLIDA SEICPROSA;3;17;22
4;LAUREL SECO ESPAÑOL;3;38;22
4;LECHE BONLE X 6 SIX PACK X 410 GR;2;14.5;22
4;LECHE CONDENSADA X 4,5;12;55;22
4;LECHE CONDESADA GLORIA X 395 GR;19;3.85;22
4;LECHE GLORIA EVAPORADA AZUL X 400 GR;19;2.95;22
4;LECHE GLORIA FRESCA X 946 ML BOLSA;12;3.3;22
4;LECHE IDEAL AMANECER NESTLE X 400 GR;19;2.39;22
4;LECHE LAIVE CHOCOLATADA X 24 X 180 ML;2;25;22
4;LECHE IDEAL CREMOSITA X 395;19;2.95;22
4;LECHE PURA VIDA X 165 GR;19;1.13;22
4;LECHE PURA VIDA X 410 GR;19;2.4;22
4;LENTEJA;3;;22
4;MACA;3;25;22
4;MAIZENA ;3;3.5;22
4;MAIZ  CABAÑITA;3;7.5;22
4;MANDIOCA ;3;6;22
4;MANI;3;9.5;22
4;MANJAR BASZO VELARDE X 900 GR;12;7.3;22
4;MANJAR X 1 KG X 12;2;84;22
4;MANJAR EN BALDE X 19 LT;15;93;22
4;MANTEQUILLA X 2 KG 5;27;81.49;22
4;MANTEQUILLA GLORIA X 400 GR;11;10.8;22
4;MARGARINA SELLO DE ORO AGRANEL;3;8.8;22
4;MARGARINA SELLO DE ORO X 2 KG;11;18;22
4;MATE CANELA Y CLAVO;2;4.5;22
4;MATE DE COCA HERBI 100 U;2;6.2;22
